index,Pathway
1021,PWY-6893
1022,PWY-6144
1023,PWY-7615
1024,PWY-1961
1025,PWY-7576
1026,PWY-7529
1027,N2FIX-PWY
1028,PWY-7696
1029,PWY-7674
1030,PWY-7719
1031,PWY-5797
1032,PWY-6829
1033,PWY-6749
1034,PWY-5978
1035,PWY-7131
1036,PWY8J2-22
1037,PWY-6139
1038,PWY-6907
1039,PWY-6190
1040,PWY-6192
1041,PWY-7251
1042,PWY-6191
1043,PWY-7800
1044,PWY-6841
1045,PWY-6997
1046,PWY-6646
1047,PWY-7198
1048,PWY1G-1
1049,PWY-7799
1050,PWY-5045
1051,PWY-7685
1052,PWY-7802
1053,PWY-7559
1054,P641-PWY
1055,PWY-5499
1056,PWY-5645
1057,PWY-7739
1058,PWY-5637
1059,PWY-6418
1060,PWY-5890
1061,PWY-4922
1062,PWY-5895
1063,PWY-7056
1064,PWY-5844
1065,PWY-5365
1066,PWY-5892
1067,PWY-7055
1068,PWY-7058
1069,PWY-7398
1070,PWY-5849
1071,PWY-5472
1072,PWY-5891
1073,PWY-7057
1074,PWY1-2
1075,PWY-7363
1076,PWY-7304
1077,PWY-3901
1078,PWY-5319
1079,PWY-5470
1080,PWY-5839
1081,PWY-6337
1082,PWY-7522
1083,PWY-7507
1084,P201-PWY
1085,P221-PWY
1086,P481-PWY
1087,P482-PWY
1088,P621-PWY
1089,PWY-5355
1090,PWY-5744
1091,PWY-5364
1092,PWY-723
1093,PWY-7582
1094,PWY-5103
1095,PWY-5101
1096,PWY-5332
1097,PWY-5108
1098,PWY-7309
1099,PWY-7308
1100,PWY-5104
1101,PWY-5078
1102,PWY-5394
1103,PWY-5403
1104,PWY-5426
1105,PWY-5400
1106,PWY-5399
1107,QUINATEDEG-PWY
1108,PWY-5404
1109,PWY-5439
1110,PWY-5775
1111,PWY-6416
1112,PWY-7380
1113,PWY-6675
1114,PWY-6427
1115,PWY-6425
1116,PWY-7080
1117,PWY-7633
1118,PWY-5701
1119,PWY-2321
1120,PWY-5061
1121,PWY-2463
1122,PWY-5801
1123,PWY-5825
1124,PWY-7145
1125,PWY-2762
1126,PWY-6580
1127,PWY-2002
1128,PWY-7079
1129,PWY-3042
1130,PWY-7625
1131,PWY-4681
1132,PWY-5821
1133,PWY-5371
1134,PWY-2467
1135,PWY-7115
1136,PWY-6332
1137,PWY-2761
1138,PWY-2083
1139,PWY-5795
1140,PWY-4502
1141,PWY-241
1142,PWY-5729
1143,PWY-2464
1144,PWY-7860
1145,PWY-5987
1146,PWY490-3
1147,PWY-7117
1148,PWY-5675
1149,ANAPHENOXI-PWY
1150,PWY-7518
1151,PWY-6318
1152,PWY-5515
1153,PWY-7295
1154,PWY-5517
1155,PWY-5780
1156,P184-PWY
1157,PWY-5802
1158,PWY-7214
1159,PWY-5290
1160,PWY-7113
1161,PWY-5467
1162,PWY-6336
1163,PWY-6667
1164,PWY-6495
1165,PWY-7532
1166,PWY-5468
1167,FLUORENE-DEG-9-ONE-PWY
1168,PWY-5301
1169,PWY-1381
1170,PWY-7387
1171,PWY-6493
1172,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
1173,PWY-7683
1174,PWY-7520
1175,AMMOXID-PWY
1176,PWY-5292
1177,PWY-5877
1178,PWY-2242
1179,PWY-7059
1180,PWY-7635
1181,PWY-5443
1182,PWY-7378
1183,PWY-1622
1184,PWY-7234
1185,P185-PWY
1186,PWY-1861
1187,PWY-1723
1188,FORMASS-PWY
1189,PWY1G-170
1190,PWY-6326
1191,PWY-5848
1192,PWY-7321
1193,PWY-4441
1194,PWY-1921
1195,PWY-7686
1196,PWY-5658
1197,PWY-5359
1198,PWY-6766
1199,PWY-5656
1200,PWY-6763
1201,PWY-6686
1202,PWY-6327
1203,PWY-2503
1204,P181-PWY
1205,PWY-6687
1206,PWY-7515
1207,PWY-5159
1208,PWY-6308
1209,PWY-7128
1210,PWY-6993
1211,PWY-5033
1212,PWY-722
1213,PWY-5055
1214,PWY-6462
1215,PWY-7722
1216,PWY-5707
1217,PWY-6461
1218,PWY-6459
1219,PWY-6539
1220,PWY-6463
1221,PWY-5706
1222,PWY-6438
1223,PWY-7561
1224,PWY-5393
1225,PWY-6314
1226,PWY-7673
1227,PWY-7620
1228,PWY-5427
1229,P108-PWY
1230,PWY-7695
1231,PWY-7632
1232,PWY-7513
1233,PWY-4961
1234,PWY-7614
1235,PWY-12
1236,PWY-5021
1237,PWY-7565
1238,PWY-1
1239,PWY-5494
1240,PWY-6312
1241,PWY-5
1242,PWY-6433
1243,PWY-7672
1244,PWY-4985
1245,PWY-7692
1246,PWY-5110
1247,PWY-6627
1248,PWY-7563
1249,PWY-4801
1250,P321-PWY
1251,PWY-5708
1252,PWY-6310
1253,CENTBENZCOA-PWY
1254,PWY-6316
1255,PWY-1361
1256,PWY1G-0
1257,PWY-7689
1258,PWY-7546
1259,AEROBACTINSYN-PWY
1260,PWY-6900
1261,PWY-6244
1262,PWY-7571
1263,PWY-6243
1264,PWY-3581
1265,PWY-5815
1266,PWY-5912
1267,PWY-6378
1268,PWY-6840
1269,PWY-6407
1270,PWY-6780
1271,PWY-6758
